"dataset_id","module","beta_processed_main","SE_processed_main","P_processed_main","sample_n_processed_main","formula_processed_main","BH_FDR_processed_main","beta_additional_quantile","SE_additional_quantile","P_additional_quantile","sample_n_additional_quantile","formula_additional_quantile","BH_FDR_additional_quantile","score_correlation","FDR_status_change"
"AD_GSE48350","WGCNA_brown",-0.280449137074918,0.194499679709534,0.153594115323998,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.40958430753066,-0.280449137074918,0.194499679709534,0.153594115323998,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.40958430753066,1,FALSE
"AD_GSE48350","WGCNA_cyan",0.334411802728428,0.15710985479216,0.036822237327807,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.220933423966842,0.334411802728428,0.15710985479216,0.036822237327807,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.220933423966842,1,FALSE
"AD_GSE48350","WGCNA_green",-0.560634828710688,0.186463578287637,0.00355294673926359,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.0852707217423261,-0.560634828710688,0.186463578287637,0.00355294673926359,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.0852707217423261,1,FALSE
"AD_GSE48350","WGCNA_greenyellow",-0.294206336584676,0.156511129435898,0.0635735628868251,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.2542942515473,-0.294206336584676,0.156511129435898,0.0635735628868251,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.2542942515473,1,FALSE
"AD_GSE48350","WGCNA_lightcyan",0.134087188312235,0.192845602892853,0.488853011514249,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.733279517271373,0.134087188312235,0.192845602892853,0.488853011514249,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.733279517271373,1,FALSE
"AD_GSE48350","WGCNA_magenta",0.0664591637642352,0.136630285079029,0.628081390390382,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.793365966808903,0.0664591637642352,0.136630285079029,0.628081390390382,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.793365966808903,1,FALSE
"AD_GSE48350","WGCNA_midnightblue",0.232868101908961,0.159870588151393,0.149597854945661,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.40958430753066,0.232868101908961,0.159870588151393,0.149597854945661,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.40958430753066,1,FALSE
"AD_GSE48350","WGCNA_pink",-0.0207674792242062,0.157095761708817,0.895207081753303,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.895207081753303,-0.0207674792242062,0.157095761708817,0.895207081753303,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.895207081753303,1,FALSE
"AD_GSE48350","WGCNA_purple",0.0510617100628037,0.126225086577126,0.687192662580278,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.824631195096334,0.0510617100628037,0.126225086577126,0.687192662580278,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.824631195096334,1,FALSE
"AD_GSE48350","WGCNA_red",0.101877430073035,0.173687859969378,0.559074343406939,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.789281425986267,0.101877430073035,0.173687859969378,0.559074343406939,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.789281425986267,1,FALSE
"AD_GSE48350","WGCNA_salmon",0.225919296447072,0.166231980945446,0.177733552449733,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.426560525879359,0.225919296447072,0.166231980945446,0.177733552449733,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.426560525879359,1,FALSE
"AD_GSE48350","WGCNA_tan",0.0843631948811414,0.156925595718322,0.592505878376544,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.790007837835392,0.0843631948811414,0.156925595718322,0.592505878376544,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.790007837835392,1,FALSE
"AD_GSE48350","WGCNA_turquoise",0.24276552134515,0.193387713676589,0.21327337536131,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.46532372806104,0.24276552134515,0.193387713676589,0.21327337536131,253,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)",0.46532372806104,1,FALSE
