"module","gene"
"hepatic_lipid_dysregulation_module","AGPAT1"
"hepatic_lipid_dysregulation_module","AGPAT2"
"hepatic_lipid_dysregulation_module","MOGAT1"
"hepatic_lipid_dysregulation_module","MOGAT2"
"hepatic_lipid_dysregulation_module","PNPLA3"
"hepatic_lipid_dysregulation_module","TM6SF2"
"hepatic_lipid_dysregulation_module","MBOAT7"
"hepatic_lipid_dysregulation_module","HSD17B13"
"hepatic_lipid_dysregulation_module","CYP7A1"
"hepatic_lipid_dysregulation_module","CYP8B1"
"hepatic_lipid_dysregulation_module","CYP27A1"
"hepatic_lipid_dysregulation_module","CYP7B1"
"hepatic_lipid_dysregulation_module","BAAT"
"hepatic_lipid_dysregulation_module","SLC10A1"
"hepatic_lipid_dysregulation_module","SLC10A2"
"hepatic_lipid_dysregulation_module","ABCB11"
"hepatic_lipid_dysregulation_module","ABCB4"
"hepatic_lipid_dysregulation_module","ABCC2"
"hepatic_lipid_dysregulation_module","ABCC3"
"hepatic_lipid_dysregulation_module","ABCG5"
"hepatic_lipid_dysregulation_module","ABCG8"
"hepatic_lipid_dysregulation_module","NR0B2"
"hepatic_lipid_dysregulation_module","NR1H4"
"hepatic_lipid_dysregulation_module","NR1H3"
"hepatic_lipid_dysregulation_module","FGF19"
"hepatic_lipid_dysregulation_module","KLB"
"hepatic_lipid_dysregulation_module","SLC51A"
"hepatic_lipid_dysregulation_module","SLC51B"
"hepatic_lipid_dysregulation_module","GPBAR1"
"hepatic_lipid_dysregulation_module","PPARD"
"hepatic_lipid_dysregulation_module","RXRB"
"hepatic_lipid_dysregulation_module","ACSL1"
"hepatic_lipid_dysregulation_module","ACSL4"
"hepatic_lipid_dysregulation_module","ACSL5"
"hepatic_lipid_dysregulation_module","ADIPOQ"
"hepatic_lipid_dysregulation_module","CD36"
"hepatic_lipid_dysregulation_module","CPT1B"
"hepatic_lipid_dysregulation_module","DBI"
"hepatic_lipid_dysregulation_module","FABP3"
"hepatic_lipid_dysregulation_module","PLTP"
"hepatic_lipid_dysregulation_module","SORBS1"
"hepatic_lipid_dysregulation_module","ACOX1"
"hepatic_lipid_dysregulation_module","ACOX2"
"hepatic_lipid_dysregulation_module","ACOX3"
"hepatic_lipid_dysregulation_module","HMGCR"
"hepatic_lipid_dysregulation_module","LDLR"
"hepatic_lipid_dysregulation_module","PCSK9"
"hepatic_lipid_dysregulation_module","SQLE"
"hepatic_lipid_dysregulation_module","LSS"
"hepatic_lipid_dysregulation_module","DHCR7"
"hepatic_lipid_dysregulation_module","DHCR24"
"hepatic_lipid_dysregulation_module","CYP51A1"
"hepatic_lipid_dysregulation_module","LBR"
"hepatic_lipid_dysregulation_module","AADAT"
"hepatic_lipid_dysregulation_module","ACAA1"
"hepatic_lipid_dysregulation_module","ACAA2"
"hepatic_lipid_dysregulation_module","ACAT2"
"hepatic_lipid_dysregulation_module","ACO2"
"hepatic_lipid_dysregulation_module","ACOT2"
"hepatic_lipid_dysregulation_module","ACOT8"
"hepatic_lipid_dysregulation_module","ACSM3"
"hepatic_lipid_dysregulation_module","ACSS1"
"hepatic_lipid_dysregulation_module","ADH1C"
"hepatic_lipid_dysregulation_module","ADH7"
"hepatic_lipid_dysregulation_module","ADSL"
"hepatic_lipid_dysregulation_module","ALAD"
